"sample.date","treatment","replicate","disturbed","fertilized","biomass","year","centered.year","log.biomass","fert.code","dist.code"
"8/11/08","T7","R6","not.disturbed","fert",36.093125,2008,7.9041322314049,3.58610240398893,1,0
"8/11/98","T7","R2","not.disturbed","no.fert",53.0629411764706,1998,-2.0958677685951,3.97147877831678,0,0
"8/11/98","T7","R4","not.disturbed","no.fert",31.6882352941176,1998,-2.0958677685951,3.45594548563027,0,0
"8/11/98","T7","R2","not.disturbed","fert",62.8863157894737,1998,-2.0958677685951,4.14132858502155,1,0
"8/12/98","T7","R3","not.disturbed","no.fert",26.0052631578947,1998,-2.0958677685951,3.25829894668526,0,0
"8/12/98","T7","R5","not.disturbed","no.fert",17.7257894736842,1998,-2.0958677685951,2.87502061154954,0,0
"8/12/98","T7","R3","not.disturbed","fert",42.9427272727273,1998,-2.0958677685951,3.75986730400447,1,0
"8/12/98","T7","R4","not.disturbed","fert",63.2461111111111,1998,-2.0958677685951,4.14703364130808,1,0
"8/12/98","T7","R5","not.disturbed","fert",27.7038095238095,1998,-2.0958677685951,3.32156993167256,1,0
"8/13/97","T7","R1","disturbed","no.fert",25.8438461538462,1997,-3.0958677685951,3.25207251280117,0,1
"8/13/97","T7","R2","disturbed","no.fert",17.1642857142857,1997,-3.0958677685951,2.84283081312716,0,1
"8/13/97","T7","R3","disturbed","no.fert",32.9390909090909,1997,-3.0958677685951,3.4946601259804,0,1
"8/13/97","T7","R5","disturbed","no.fert",52.8421428571429,1997,-3.0958677685951,3.96730903252494,0,1
"8/13/97","T7","R6","disturbed","no.fert",10.7975,1997,-3.0958677685951,2.37931462585272,0,1
"8/13/97","T7","R1","disturbed","fert",67.5454545454545,1997,-3.0958677685951,4.21280077191939,1,1
"8/13/97","T7","R2","disturbed","fert",85.3711111111111,1997,-3.0958677685951,4.44700776617836,1,1
"8/13/97","T7","R3","disturbed","fert",64.051,1997,-3.0958677685951,4.15967964102336,1,1
"8/13/97","T7","R5","disturbed","fert",119.142857142857,1997,-3.0958677685951,4.78032325330343,1,1
"8/13/97","T7","R6","disturbed","fert",42.0458333333333,1997,-3.0958677685951,3.73876029312254,1,1
"8/13/98","T7","R1","not.disturbed","no.fert",23.1085,1998,-2.0958677685951,3.14020051521306,0,0
"8/13/98","T7","R6","not.disturbed","no.fert",26.4838461538462,1998,-2.0958677685951,3.27653496802315,0,0
"8/13/98","T7","R1","not.disturbed","fert",53.0976470588235,1998,-2.0958677685951,3.97213261575619,1,0
"8/13/98","T7","R6","not.disturbed","fert",63.405,1998,-2.0958677685951,4.14954272268686,1,0
"8/14/01","T7","R1","disturbed","no.fert",16.43075,2001,0.904132231404901,2.79915457921183,0,1
"8/14/01","T7","R2","disturbed","no.fert",22.795,2001,0.904132231404901,3.1265412136654,0,1
"8/14/01","T7","R3","disturbed","no.fert",24.586,2001,0.904132231404901,3.20217717524515,0,1
"8/14/01","T7","R4","disturbed","no.fert",25.3778571428571,2001,0.904132231404901,3.23387702778625,0,1
"8/14/01","T7","R5","disturbed","no.fert",51.9647058823529,2001,0.904132231404901,3.95056475510621,0,1
"8/14/01","T7","R6","disturbed","no.fert",24.64,2001,0.904132231404901,3.20437113866532,0,1
"8/14/01","T7","R1","disturbed","fert",52.002,2001,0.904132231404901,3.95128217938026,1,1
"8/14/01","T7","R2","disturbed","fert",62.1516666666667,2001,0.904132231404901,4.12957763443813,1,1
"8/14/01","T7","R3","disturbed","fert",34.7864705882353,2001,0.904132231404901,3.54922853498723,1,1
"8/14/01","T7","R4","disturbed","fert",80.2027272727273,2001,0.904132231404901,4.38455752018864,1,1
"8/14/01","T7","R5","disturbed","fert",117.439166666667,2001,0.904132231404901,4.76592046901905,1,1
"8/14/01","T7","R6","disturbed","fert",71.48,2001,0.904132231404901,4.26941769029123,1,1
"8/14/95","T7","R2","not.disturbed","no.fert",25.4045,1995,-5.0958677685951,3.23492632368689,0,0
"8/14/95","T7","R4","not.disturbed","no.fert",17.3546153846154,1995,-5.0958677685951,2.85385848742112,0,0
"8/14/95","T7","R5","not.disturbed","no.fert",38.9515384615385,1995,-5.0958677685951,3.66231826990741,0,0
"8/14/95","T7","R2","not.disturbed","fert",16.8842857142857,1995,-5.0958677685951,2.82638334996884,1,0
"8/14/95","T7","R4","not.disturbed","fert",24.4614285714286,1995,-5.0958677685951,3.19709753294557,1,0
"8/14/95","T7","R5","not.disturbed","fert",76.5533333333333,1995,-5.0958677685951,4.33798766567993,1,0
"8/15/11","T7","R1","disturbed","no.fert",17.741,2011,10.9041322314049,2.87587834507851,0,1
"8/15/11","T7","R3","disturbed","no.fert",19.0317857142857,2011,10.9041322314049,2.9461105137047,0,1
"8/15/11","T7","R4","disturbed","no.fert",14.4305882352941,2011,10.9041322314049,2.66935013670157,0,1
"8/15/11","T7","R1","disturbed","fert",43.4633333333333,2011,10.9041322314049,3.77191767076727,1,1
"8/15/11","T7","R3","disturbed","fert",41.16625,2011,10.9041322314049,3.71761874589121,1,1
"8/15/11","T7","R4","disturbed","fert",47.7328571428571,2011,10.9041322314049,3.86561998975121,1,1
"8/15/92","T7","R1","not.disturbed","no.fert",11.3191666666667,1992,-8.0958677685951,2.4264974540464,0,0
"8/15/92","T7","R2","not.disturbed","no.fert",39.505,1992,-8.0958677685951,3.6764272461747,0,0
"8/15/92","T7","R3","not.disturbed","no.fert",33.3636363636364,1992,-8.0958677685951,3.5074665752562,0,0
"8/15/92","T7","R4","not.disturbed","no.fert",8.721875,1992,-8.0958677685951,2.16583423774255,0,0
"8/15/92","T7","R5","not.disturbed","no.fert",34.745,1992,-8.0958677685951,3.54803567676629,0,0
"8/15/92","T7","R6","not.disturbed","no.fert",23.26,1992,-8.0958677685951,3.14673514709052,0,0
"8/15/92","T7","R1","not.disturbed","fert",42.2646666666667,1992,-8.0958677685951,3.74395143360347,1,0
"8/15/92","T7","R2","not.disturbed","fert",30.789,1992,-8.0958677685951,3.42715748333169,1,0
"8/15/92","T7","R3","not.disturbed","fert",15.63125,1992,-8.0958677685951,2.74927211564379,1,0
"8/15/92","T7","R4","not.disturbed","fert",36.2206666666667,1992,-8.0958677685951,3.58962985832306,1,0
"8/15/92","T7","R5","not.disturbed","fert",71.3225,1992,-8.0958677685951,4.26721184566158,1,0
"8/15/92","T7","R6","not.disturbed","fert",25.4535714285714,1992,-8.0958677685951,3.23685606433262,1,0
"8/15/92","T7","R1","disturbed","no.fert",36.7685714285714,1992,-8.0958677685951,3.60464344301021,0,1
"8/15/92","T7","R2","disturbed","no.fert",28.318,1992,-8.0958677685951,3.34349764486278,0,1
"8/15/92","T7","R3","disturbed","no.fert",31.615,1992,-8.0958677685951,3.45363169151058,0,1
"8/15/92","T7","R4","disturbed","no.fert",24.5255555555556,1992,-8.0958677685951,3.1997156578169,0,1
"8/15/92","T7","R5","disturbed","no.fert",48.0391666666667,1992,-8.0958677685951,3.87201665040576,0,1
"8/15/92","T7","R6","disturbed","no.fert",26.4608333333333,1992,-8.0958677685951,3.27566565226999,0,1
"8/15/92","T7","R1","disturbed","fert",155.075,1992,-8.0958677685951,5.04390887085918,1,1
"8/15/92","T7","R2","disturbed","fert",123.753333333333,1992,-8.0958677685951,4.81829033711297,1,1
"8/15/92","T7","R3","disturbed","fert",63.7314285714286,1992,-8.0958677685951,4.15467782507102,1,1
"8/15/92","T7","R4","disturbed","fert",98.8025,1992,-8.0958677685951,4.59312290807742,1,1
"8/15/92","T7","R5","disturbed","fert",152.811666666667,1992,-8.0958677685951,5.02920622634826,1,1
"8/15/92","T7","R6","disturbed","fert",75.77125,1992,-8.0958677685951,4.32771893310165,1,1
"8/15/93","T7","R4","not.disturbed","fert",152.475714285714,1993,-7.0958677685951,5.02700533278027,1,0
"8/15/93","T7","R5","disturbed","no.fert",92.3158,1993,-7.0958677685951,4.52521530779077,0,1
"8/15/93","T7","R5","disturbed","fert",74.6853333333333,1993,-7.0958677685951,4.31328373194214,1,1
"8/15/96","T7","R1","not.disturbed","no.fert",15.8275,1996,-4.0958677685951,2.76174893343614,0,0
"8/15/96","T7","R2","not.disturbed","no.fert",30.1786666666667,1996,-4.0958677685951,3.40713527299553,0,0
