"WaterbodyID","Year","doy","CenterLatitude","Temperature","pH","lwTN","lwTP","pa"
1248,1973,246,27.8555555,28.0666666666667,8.93333333333333,3.60730780042012,1.98865030273147,1
1248,1973,309,27.8555555,24.35,8.86666666666667,3.72649631768524,2.03156346143537,1
1249,1973,310,28.563056,22.2,7.3,4.59774267015929,4.94911443744801,0
1250,1973,67,28.112037,22.25,7.25,2.24601474150565,0.36568423809632,0
1250,1973,246,28.112037,28,5.7,2.65230255636528,-0.196623341504814,0
1250,1973,309,28.112037,23.1555555555556,6.08571428571429,2.27418561847235,0.0483819175828284,0
1252,1973,66,27.9840275,20.7285714285714,9.54285714285714,3.30615383297526,2.80876565945173,1
1252,1973,248,27.9840275,28.65,9.075,3.60318539090357,2.51393942373328,1
1252,1973,309,27.9840275,23.5,9.14,3.60907838391038,2.78044527851756,0
1258,1973,246,28.056389,28.95,8.95,2.88200350822565,0.477475644084436,1
1258,1973,309,28.056389,23.7666666666667,7,2.24601474150565,0.700619195398646,1
1261,1973,71,28.29777775,23.96,6.90909090909091,2.19560710832204,-0.44671332981396,1
1261,1973,248,28.29777775,28.7833333333333,6.45,2.84877786059733,0.487045095100587,0
1261,1973,310,28.29777775,22.66,6.59,2.77620716776249,0.37211512842661,1
1301,1973,181,34.1466112,28.48,7.9,2.4109012364775,-0.539911204661087,1
1301,1973,259,34.1466112,26.7444444444444,6.76666666666667,2.6028542809513,-0.517701057335432,1
1301,1973,316,34.1466112,14.1,6.69473684210526,1.58622315464659,-0.00311009449183604,0
1302,1973,172,31.925486,27.3714285714286,7.07857142857143,2.48906465993666,0.946792224179133,0
1302,1973,249,31.925486,28.6857142857143,7.27857142857143,2.10535292346434,-0.319811795728107,0
1302,1973,311,31.925486,16.66,7.52222222222222,1.80792440608141,0.0525924501191706,0
1303,1973,179,34.948889,26.8,6.95,1.81237875643079,-1.05339994584656,1
1303,1973,259,34.948889,23.2066666666667,6.10666666666667,1.73601182449112,-1.08195184777501,1
1303,1973,313,34.948889,14.3,6.38333333333333,1.1944273914824,-0.616340472320178,1
1304,1973,175,33.8301513636364,28.3909090909091,7.74090909090909,1.95495998457523,-0.269544526415662,1
1304,1973,252,33.8301513636364,30.1888888888889,7.7625,2.23692001159977,-0.687386030124875,0
1304,1973,315,33.8301513636364,16.5058823529412,6.826,1.58418043445496,-0.0499526681448288,1
1309,1973,181,33.3637222,25.075,7.915,2.75238601492226,1.10403081192004,1
1309,1973,250,33.3637222,27.7909090909091,7.57272727272727,2.86220088092947,2.51633190564919,1
1309,1973,316,33.3637222,13.415,6.81578947368421,3.31441564337531,2.03391414100909,1
1310,1973,180,34.2629396666667,27.5833333333333,8.18333333333333,2.03208784529637,-0.760177693019168,0
1310,1973,254,34.2629396666667,28.2428571428571,7.02727272727273,1.97104612232686,-0.575849110965445,1
1310,1973,313,34.2629396666667,17.3881355932203,6.23898305084746,1.64937544813934,-0.0251266589358766,0
1311,1973,177,34.9289813333333,19.6238095238095,6.4,1.78339121955754,-0.331773509947492,1
1311,1973,254,34.9289813333333,27.5,6.26666666666667,2.01044867019288,-1.2401758529899,0
1311,1973,315,34.9289813333333,15.5411764705882,6.27058823529412,1.3187709976123,-0.429245636773568,0
1312,1973,170,30.7605554,27.9789473684211,7.22631578947368,2.43610332763727,0.509350852614886,1
1312,1973,242,30.7605554,28.7,7.6375,2.42679189644823,-0.164137886360326,1
1312,1973,306,30.7605554,19.2578947368421,7.50526315789474,2.36323448230562,0.343365483659116,0
